epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,435.398,1.15706,1.63972,0.7786,0.95327,0.85846,0.7404,0.83837,0.56031,0.51895,0.51813,0.44942,0.25157,1.08001,1.1041,0.75087,0.93842,3.9264e-05,3.9264e-05,3.9264e-05
91,499.114,1.0804,1.41159,0.75758,0.94742,0.85999,0.75116,0.83607,0.55651,0.54038,0.52013,0.45377,0.259,1.08269,1.09589,0.74909,0.94054,3.4227e-05,3.4227e-05,3.4227e-05
92,504.038,1.14769,1.41232,0.78792,0.95077,0.86967,0.74809,0.83666,0.55835,0.54178,0.53024,0.45882,0.26802,1.08696,1.09101,0.75266,0.9392,2.96546e-05,2.96546e-05,2.96546e-05
93,509.12,1.08226,1.38,0.77057,0.93976,0.85251,0.75892,0.83379,0.55676,0.54988,0.53347,0.45906,0.26455,1.07711,1.08852,0.75923,0.93898,2.55513e-05,2.55513e-05,2.55513e-05
94,514.111,1.10424,1.39749,0.77507,0.93165,0.83959,0.75669,0.83189,0.55534,0.53575,0.52856,0.44949,0.25911,1.07179,1.08647,0.76234,0.93981,2.19212e-05,2.19212e-05,2.19212e-05
95,519.189,1.12817,1.44089,0.78083,0.94019,0.85801,0.73878,0.83119,0.54991,0.53208,0.52441,0.44455,0.25368,1.0779,1.08725,0.77022,0.94123,1.87678e-05,1.87678e-05,1.87678e-05
96,524.355,1.10064,1.40611,0.76689,0.93671,0.8783,0.72674,0.83157,0.54785,0.53371,0.52367,0.44404,0.25508,1.07051,1.08679,0.77217,0.94121,1.60943e-05,1.60943e-05,1.60943e-05
97,529.219,1.10636,1.386,0.76613,0.9504,0.89405,0.7169,0.83115,0.55487,0.52404,0.50597,0.44224,0.2555,1.0698,1.08797,0.76647,0.94117,1.39032e-05,1.39032e-05,1.39032e-05
98,534.676,1.05915,1.38644,0.76334,0.93735,0.86172,0.73042,0.82571,0.55487,0.52522,0.52008,0.44126,0.25385,1.05938,1.0861,0.76805,0.94293,1.21968e-05,1.21968e-05,1.21968e-05
99,539.447,1.06861,1.37166,0.76638,0.93843,0.87085,0.73462,0.83008,0.55888,0.52289,0.5206,0.44541,0.25383,1.0425,1.08729,0.76118,0.94478,1.09768e-05,1.09768e-05,1.09768e-05
100,544.531,1.0724,1.36215,0.75495,0.94533,0.85647,0.73462,0.82727,0.55474,0.52518,0.51819,0.44914,0.24791,1.03564,1.09092,0.75848,0.94793,1.02443e-05,1.02443e-05,1.02443e-05
1,247.535,2.17856,2.58921,1.65389,1.4013,0.4965,0.45165,0.4388,0.1807,0.2336,0.21986,0.14356,0.05485,2.15666,2.91948,1.37646,1.31316,0.0670813,0.000332512,0.000332512
2,332.15,1.75472,2.10691,1.12725,1.17527,0.61206,0.58366,0.58572,0.26787,0.43959,0.40541,0.40812,0.17881,1.95098,2.44872,1.22859,1.24428,0.0340651,0.000649714,0.000649714
3,412.217,1.6067,1.8941,1.01541,1.116,0.66244,0.56025,0.6012,0.2898,0.40826,0.3826,0.38002,0.1636,1.93437,2.32372,1.14022,1.19634,0.000986822,0.00090472,0.00090472
4,496.871,1.53907,1.82073,0.9393,1.08808,0.65164,0.58891,0.61124,0.30489,0.47722,0.43693,0.45562,0.22154,1.75203,2.03427,1.16339,1.15053,0.000795954,0.000795954,0.000795954
5,575.815,1.43567,1.76425,0.87728,1.05069,0.66624,0.62385,0.64233,0.30203,0.47074,0.44005,0.46301,0.21097,1.78423,2.03669,1.05244,1.11666,0.000657963,0.000657963,0.000657963
6,626.987,1.37331,1.67879,0.83287,1.02691,0.6638,0.61613,0.66224,0.35967,0.40126,0.42797,0.39272,0.15378,1.64426,2.20437,0.97428,1.08482,0.000505,0.000505,0.000505
7,679.797,1.29148,1.6268,0.7879,1.0077,0.69874,0.65987,0.69794,0.38447,0.46935,0.43586,0.4475,0.20541,1.53791,1.93862,0.92115,1.07896,0.000352037,0.000352037,0.000352037
8,734.051,1.24349,1.56411,0.76091,0.99136,0.71807,0.66922,0.71357,0.38641,0.46997,0.42878,0.4273,0.1925,1.51934,1.98701,0.9258,1.03518,0.000214046,0.000214046,0.000214046
9,790.813,1.19236,1.54344,0.73554,0.97547,0.74454,0.6583,0.72882,0.4176,0.46072,0.43288,0.42419,0.20684,1.41961,1.88,0.875,1.02601,0.000104537,0.000104537,0.000104537
10,849.818,1.14805,1.49715,0.71767,0.96548,0.7678,0.62908,0.72229,0.40788,0.46337,0.4368,0.42487,0.1985,1.47392,1.91186,0.88793,1.01432,3.4227e-05,3.4227e-05,3.4227e-05
1,58.7215,2.22226,2.86576,1.89348,1.40167,0.11095,0.4902,0.26456,0.10868,0.06632,0.14228,0.05569,0.02474,2.04508,6.41543,2.61347,1.29018,0.0673235,0.000330065,0.000330065
2,113.832,1.70777,2.14239,1.14488,1.12607,0.65329,0.47474,0.5564,0.24679,0.4416,0.31042,0.35627,0.14248,1.84399,2.59319,1.33902,1.1636,0.0343235,0.000663381,0.000663381
3,168.556,1.57891,2.03194,1.01832,1.07498,0.67548,0.58209,0.62847,0.32228,0.42758,0.36641,0.3578,0.16252,1.78136,2.29818,1.08814,1.14849,0.00132342,0.000996624,0.000996624
4,221.48,1.52031,1.93089,0.96166,1.0667,0.63767,0.62065,0.62653,0.28694,0.43973,0.41219,0.40354,0.19157,1.68782,2.15938,1.034,1.08046,0.000999756,0.000999756,0.000999756
5,273.848,1.47933,1.89545,0.90981,1.04562,0.68285,0.60384,0.655,0.33012,0.49318,0.42048,0.44252,0.21267,1.65475,2.19102,0.97233,1.10491,0.000999566,0.000999566,0.000999566
6,325.333,1.41123,1.8412,0.87425,1.03734,0.68468,0.62271,0.66133,0.3294,0.40128,0.3382,0.30408,0.12537,1.76,2.26567,1.01755,1.12331,0.000999322,0.000999322,0.000999322
