epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,287.013,0.50061,0.41173,0.82851,0.95068,0.95647,0.96575,0.80718,0.53613,0.4936,0.77763,0.000201611,0.000201611,0.000201611
73,291.448,0.51988,0.43094,0.85853,0.93459,0.96079,0.96284,0.81293,0.52696,0.47525,0.77792,0.000189475,0.000189475,0.000189475
74,295.208,0.51115,0.41998,0.83128,0.91963,0.95995,0.95897,0.82183,0.50804,0.44248,0.77763,0.000177651,0.000177651,0.000177651
75,298.921,0.5036,0.41362,0.8597,0.93465,0.96033,0.95868,0.8217,0.4971,0.44719,0.77768,0.000166149,0.000166149,0.000166149
76,303.287,0.47582,0.40759,0.8404,0.95063,0.96086,0.96223,0.81772,0.51589,0.46015,0.77885,0.000154982,0.000154982,0.000154982
77,307.499,0.48342,0.40138,0.85062,0.93456,0.96096,0.95643,0.81541,0.52718,0.46181,0.7795,0.000144161,0.000144161,0.000144161
78,311.988,0.44142,0.3957,0.83853,0.95065,0.96083,0.96654,0.82576,0.50465,0.46533,0.78086,0.000133695,0.000133695,0.000133695
79,315.651,0.46839,0.40444,0.83257,0.91949,0.94572,0.95859,0.81607,0.50359,0.46455,0.78089,0.000123596,0.000123596,0.000123596
80,319.364,0.48509,0.39817,0.85456,0.93475,0.94572,0.96011,0.80812,0.50286,0.46002,0.77946,0.000113873,0.000113873,0.000113873
81,323.724,0.46338,0.38096,0.84668,0.93482,0.94572,0.95865,0.80611,0.5069,0.4652,0.77975,0.000104537,0.000104537,0.000104537
82,327.609,0.47482,0.40692,0.83517,0.93485,0.94519,0.95892,0.80986,0.49369,0.44456,0.77764,9.55951e-05,9.55951e-05,9.55951e-05
83,331.509,0.41397,0.37589,0.83714,0.96936,0.9451,0.96672,0.81507,0.48807,0.44259,0.77732,8.70577e-05,8.70577e-05,8.70577e-05
84,335.344,0.40609,0.36282,0.83609,0.96943,0.9452,0.96827,0.81499,0.49036,0.43813,0.7779,7.89327e-05,7.89327e-05,7.89327e-05
85,339.735,0.4633,0.377,0.82841,0.96931,0.94507,0.96781,0.813,0.48571,0.43263,0.77762,7.12282e-05,7.12282e-05,7.12282e-05
86,343.665,0.42179,0.36645,0.82375,0.96943,0.94496,0.96773,0.81405,0.48046,0.42615,0.77639,6.39518e-05,6.39518e-05,6.39518e-05
87,348.163,0.46128,0.40424,0.82678,0.93278,0.94572,0.96272,0.81193,0.48524,0.45393,0.77571,5.71106e-05,5.71106e-05,5.71106e-05
88,352.726,0.43666,0.36734,0.83584,0.93337,0.94572,0.96299,0.81821,0.48438,0.45503,0.77508,5.07115e-05,5.07115e-05,5.07115e-05
89,357.241,0.43144,0.37375,0.82727,0.93354,0.94572,0.96292,0.81491,0.48754,0.45926,0.77522,4.47606e-05,4.47606e-05,4.47606e-05
90,361.233,0.43004,0.37336,0.83518,0.96913,0.94485,0.96822,0.82042,0.48308,0.45819,0.77589,3.9264e-05,3.9264e-05,3.9264e-05
91,402.179,0.40639,0.38675,0.80363,0.96943,0.94516,0.96715,0.82195,0.48021,0.4531,0.77611,3.4227e-05,3.4227e-05,3.4227e-05
92,405.944,0.39648,0.38336,0.8144,0.95183,0.94526,0.96018,0.81721,0.48297,0.45233,0.77714,2.96546e-05,2.96546e-05,2.96546e-05
93,410.203,0.39867,0.37798,0.80456,0.95192,0.94519,0.96033,0.81417,0.48553,0.45164,0.778,2.55513e-05,2.55513e-05,2.55513e-05
94,413.97,0.41394,0.38855,0.79171,0.9699,0.9451,0.96554,0.81563,0.49056,0.45084,0.77939,2.19212e-05,2.19212e-05,2.19212e-05
95,418.436,0.39678,0.37137,0.79583,0.95211,0.94543,0.95915,0.80404,0.49604,0.44424,0.78142,1.87678e-05,1.87678e-05,1.87678e-05
96,422.151,0.40918,0.38748,0.82264,0.96991,0.94493,0.96483,0.81051,0.50181,0.44311,0.78218,1.60943e-05,1.60943e-05,1.60943e-05
97,426.435,0.39533,0.36613,0.80121,0.96995,0.94497,0.96478,0.80525,0.49929,0.44309,0.78206,1.39032e-05,1.39032e-05,1.39032e-05
98,430.289,0.43283,0.39329,0.79411,0.95211,0.94494,0.95742,0.79981,0.50019,0.44338,0.78228,1.21968e-05,1.21968e-05,1.21968e-05
1,4.68099,1.80378,4.36862,1.92111,0.002,0.32759,0.00392,0.00086,2.57794,4.29663,2.51682,0.09406,6e-05,6e-05
2,9.47594,1.09642,3.22868,1.06175,0.00083,0.24138,0.01044,0.00131,3.30151,5.0524,2.28127,0.08713,0.000129968,0.000129968
3,14.1076,1.24472,2.31048,0.99535,0.00101,0.2931,0.01669,0.00378,2.64887,4.43794,1.71316,0.0801998,0.000199805,0.000199805
4,18.1514,1.09231,1.77106,0.92517,0.00143,0.41379,0.26303,0.13403,1.80489,3.45114,1.15849,0.0732694,0.000269407,0.000269407
5,22.2439,1.0483,1.46522,0.90191,0.00235,0.5,0.35424,0.2329,1.22948,3.03474,0.95905,0.0663387,0.000338673,0.000338673
6,26.3372,1.03943,1.26341,0.93954,0.00317,0.48276,0.48256,0.36457,1.05854,2.81461,0.89749,0.0594075,0.000407501,0.000407501
7,30.622,1.15472,1.21898,0.96237,0.5,0.28484,0.48256,0.38391,1.05147,2.68484,0.91637,0.0524758,0.000475791,0.000475791
8,35.3509,1.07653,1.01586,0.93555,0.5,0.23865,0.48255,0.40332,1.01228,2.65259,0.87168,0.0455434,0.000543443,0.000543443
9,39.5277,1.03083,0.98391,0.91526,0.48101,0.43676,0.47726,0.36272,1.04972,2.3754,0.86835,0.0386104,0.000610358,0.000610358
10,44.2711,1.00416,0.87557,0.93346,1,0.47652,0.74183,0.52013,1.01274,2.10196,0.85087,0.0316764,0.000676438,0.000676438
11,48.6321,0.96931,0.8567,0.91395,0.97358,0.48276,0.74407,0.56263,1.00847,1.94375,0.86368,0.0247416,0.000741587,0.000741587
12,52.6438,0.99859,0.88458,0.97801,0.9909,0.44828,0.81638,0.55605,1.01795,2.03171,0.85895,0.0178057,0.000805711,0.000805711
13,56.6971,0.93381,0.86555,0.92638,0.98153,0.44957,0.87757,0.61384,0.96923,1.9127,0.85843,0.0108687,0.000868715,0.000868715
14,60.9005,0.98357,0.81048,0.92979,0.99433,0.48276,0.90288,0.62245,0.94252,1.54751,0.84965,0.00393051,0.00093051,0.00093051
15,65.0209,0.9026,0.77181,0.91826,0.96449,0.46552,0.83548,0.54758,0.93967,1.38998,0.85499,0.000952889,0.000952889,0.000952889
16,69.7583,0.9142,0.76792,0.90336,0.93695,0.39655,0.76786,0.50339,1.00333,1.62774,0.88192,0.000946048,0.000946048,0.000946048
17,73.8941,0.89272,0.76902,0.91042,0.95456,0.37931,0.79616,0.55229,0.92229,1.61943,0.86679,0.000938772,0.000938772,0.000938772
18,78.6426,0.88172,0.72083,0.90929,0.97951,0.48276,0.89637,0.64923,0.88273,1.19388,0.90056,0.000931067,0.000931067,0.000931067
19,82.8629,0.94026,0.75973,0.91779,0.65153,0.75922,0.91509,0.64117,0.94878,0.98155,0.88706,0.000922942,0.000922942,0.000922942
20,87.7789,0.86765,0.72968,0.90781,0.8087,0.78365,0.92376,0.67251,0.81473,0.87532,0.85078,0.000914405,0.000914405,0.000914405
21,92.2783,0.8632,0.69767,0.92766,0.82542,0.84406,0.92486,0.63635,0.8847,0.84044,0.84705,0.000905463,0.000905463,0.000905463
22,96.414,0.88305,0.72465,0.95477,0.8021,0.87165,0.9093,0.61784,0.89138,0.77791,0.84045,0.000896127,0.000896127,0.000896127
23,101.261,0.83847,0.70015,0.8989,0.8378,0.86227,0.92012,0.67194,0.77494,0.70957,0.83959,0.000886404,0.000886404,0.000886404
24,105.429,0.82531,0.68189,0.91384,0.81985,0.87835,0.87996,0.64236,0.78671,0.71443,0.822,0.000876305,0.000876305,0.000876305
25,109.551,0.77881,0.68147,0.90565,0.80072,0.87165,0.86502,0.6343,0.7694,0.70434,0.82069,0.000865839,0.000865839,0.000865839
26,114.028,0.75184,0.61774,0.87724,0.80038,0.89017,0.89311,0.64327,0.72589,0.70392,0.82764,0.000855018,0.000855018,0.000855018
27,118.252,0.75788,0.63643,0.89161,0.7774,0.89017,0.91856,0.69286,0.72511,0.84105,0.84132,0.000843851,0.000843851,0.000843851
28,123.418,0.75231,0.65603,0.87921,0.88175,0.89017,0.92954,0.66901,0.79227,0.64031,0.85926,0.000832349,0.000832349,0.000832349
29,128.154,0.75495,0.61911,0.89462,0.83894,0.9272,0.92334,0.69212,0.78373,0.65154,0.85944,0.000820525,0.000820525,0.000820525
30,133.288,0.70811,0.60986,0.89931,0.87614,0.90868,0.93104,0.68015,0.75568,0.64881,0.8504,0.000808389,0.000808389,0.000808389
31,138.348,0.7196,0.58684,0.88016,0.94656,0.90868,0.94219,0.70576,0.76995,0.64441,0.84071,0.000795954,0.000795954,0.000795954
32,142.951,0.70273,0.57045,0.89381,0.89791,0.93408,0.93996,0.72352,0.7512,0.68439,0.8403,0.000783231,0.000783231,0.000783231
33,147.962,0.73185,0.60905,0.88315,0.93054,0.93895,0.94439,0.71911,0.74473,0.68948,0.83658,0.000770234,0.000770234,0.000770234
34,152.464,0.71856,0.60829,0.8982,0.94461,0.88364,0.94563,0.688,0.78048,0.66048,0.83441,0.000756976,0.000756976,0.000756976
35,157.535,0.71457,0.59969,0.88764,0.94373,0.90868,0.94634,0.705,0.77361,0.66152,0.83092,0.000743468,0.000743468,0.000743468
36,162.136,0.69535,0.56423,0.8557,0.95191,0.90868,0.94384,0.71871,0.7152,0.62047,0.81452,0.000729725,0.000729725,0.000729725
37,167.222,0.66174,0.55197,0.86718,0.9019,0.90868,0.92317,0.68728,0.70843,0.608,0.8116,0.000715761,0.000715761,0.000715761
38,172.274,0.70919,0.55471,0.88266,0.94,0.92596,0.95126,0.70274,0.74084,0.59638,0.80749,0.000701588,0.000701588,0.000701588
